ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Birth date,Hire date,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Drinker,Smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay,,,,
34,19,1,2,2,118,10,10,37,3/29/1981,3/24/2001,"330,061",100,0,1,0,0,0,0,83,172,28,32,1,4,2,1,,,,
36,26,1,2,2,118,13,18,50,4/1/1968,3/27/1988,"330,061",100,0,1,1,1,0,0,98,178,31,4,1,5,2,1,,,,
3,27,2,5,2,179,51,18,38,3/29/1980,3/24/2000,"264,249",97,0,1,0,1,0,0,89,170,31,2,1,5,3,1,,,,
6,23,2,5,2,189,29,13,33,3/28/1985,3/23/2005,"302,585",99,0,1,2,0,0,2,69,167,25,8,3,3,3,4,,,,
6,19,2,5,2,189,29,13,33,3/28/1985,3/23/2005,"302,585",99,0,1,2,0,0,2,69,167,25,8,3,2,3,3,,,,
6,22,2,2,2,189,29,13,33,3/28/1985,3/23/2005,"251,818",96,0,1,2,0,0,2,69,167,25,8,3,4,2,5,,,,
11,22,2,6,2,289,36,13,33,3/28/1985,3/23/2005,"302,585",99,0,1,2,1,0,1,90,172,30,8,4,4,3,3,,,,
11,22,2,6,2,289,36,13,33,3/28/1985,3/23/2005,"251,818",96,0,1,2,1,0,1,90,172,30,3,4,5,3,5,,,,
12,19,2,2,2,233,51,1,31,3/28/1987,3/23/2007,"264,249",97,0,2,1,1,0,8,68,178,21,2,2,5,3,2,,,,
12,12,2,4,2,233,51,1,31,3/28/1987,3/23/2007,"264,249",97,0,2,1,1,0,8,68,178,21,3,1,4,3,1,,,,
14,28,2,5,2,155,12,14,34,3/28/1984,3/23/2004,"302,585",99,0,1,2,1,0,0,95,196,25,2,2,3,2,2,,,,
14,25,2,2,2,155,12,14,34,3/28/1984,3/23/2004,"264,249",97,0,1,2,1,0,0,95,196,25,5,2,4,5,4,,,,
15,23,2,3,2,291,31,12,40,3/30/1978,3/25/1998,"251,818",96,0,1,1,1,0,1,73,171,25,2,2,5,2,2,,,,
17,23,2,6,2,179,22,17,40,3/30/1978,3/25/1998,"264,249",97,0,2,2,0,1,0,63,170,22,2,3,5,3,3,,,,
18,18,2,2,2,330,16,4,28,3/27/1990,3/22/2010,"302,585",99,0,2,0,0,0,0,84,182,25,8,1,4,2,1,,,,
18,23,2,3,2,330,16,4,28,3/27/1990,3/22/2010,"302,585",99,0,2,0,0,0,0,84,182,25,1,2,4,3,1,,,,
20,28,2,6,2,260,50,11,36,3/29/1982,3/24/2002,"302,585",99,0,1,4,1,0,0,65,168,23,2,4,2,3,4,,,,
20,28,2,6,2,260,50,11,36,3/29/1982,3/24/2002,"251,818",96,0,1,4,1,0,0,65,168,23,3,4,2,4,4,,,,
22,23,2,3,2,179,26,9,30,3/27/1988,3/22/2008,"302,585",99,0,3,0,0,0,0,56,171,19,1,2,4,2,1,,,,
22,27,2,5,2,179,26,9,30,3/27/1988,3/22/2008,"264,249",97,0,3,0,0,0,0,56,171,19,2,2,3,2,1,,,,
22,13,2,5,2,179,26,9,30,3/27/1988,3/22/2008,"264,249",97,0,3,0,0,0,0,56,171,19,2,2,4,2,1,,,,
22,27,2,4,2,179,26,9,30,3/27/1988,3/22/2008,"264,249",97,0,3,0,0,0,0,56,171,19,2,1,3,3,2,,,,
24,1,2,4,2,246,25,16,41,3/30/1977,3/25/1997,"302,585",99,0,1,0,1,0,0,67,170,23,8,2,3,2,2,,,,
24,26,2,5,2,246,25,16,41,3/30/1977,3/25/1997,"251,818",96,0,1,0,1,0,0,67,170,23,8,2,3,3,2,,,,
24,23,2,3,2,246,25,16,41,3/30/1977,3/25/1997,"251,818",96,0,1,0,1,0,0,67,170,23,2,2,5,2,1,,,,
24,10,2,6,2,246,25,16,41,3/30/1977,3/25/1997,"251,818",96,0,1,0,1,0,0,67,170,23,24,2,3,3,1,,,,
25,25,2,2,2,235,16,8,32,3/28/1986,3/23/2006,"264,249",97,0,3,0,0,0,0,75,178,25,3,1,3,3,2,,,,
25,25,2,6,2,235,16,8,32,3/28/1986,3/23/2006,"264,249",97,0,3,0,0,0,0,75,178,25,2,1,4,2,2,,,,
27,23,2,6,2,184,42,7,27,3/27/1991,3/22/2011,"602,585",99,0,1,0,0,0,0,58,167,21,1,1,4,2,2,,,,
27,23,2,3,2,184,42,7,27,3/27/1991,3/22/2011,"302,585",99,0,1,0,0,0,0,58,167,21,8,2,4,2,1,,,,
28,28,2,2,2,225,26,9,28,3/27/1990,3/22/2010,"302,585",99,0,1,1,0,0,2,69,169,24,2,2,3,2,2,,,,
28,23,2,3,2,225,26,9,28,3/27/1990,3/22/2010,"302,585",99,0,1,1,0,0,2,69,169,24,2,1,3,3,2,,,,
28,25,2,5,2,225,26,9,28,3/27/1990,3/22/2010,"302,585",99,0,1,1,0,0,2,69,169,24,3,2,3,2,2,,,,
28,23,2,4,2,225,26,9,28,3/27/1990,3/22/2010,"302,585",99,0,1,1,0,0,2,69,169,24,1,2,4,3,2,,,,
28,7,2,4,2,225,26,9,28,3/27/1990,3/22/2010,"251,818",96,0,1,1,0,0,2,69,169,24,1,2,5,2,1,,,,
28,23,2,3,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,3,1,5,2,2,,,,
28,28,2,5,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,3,2,5,2,2,,,,
28,7,2,3,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,8,2,5,3,2,,,,
28,25,2,5,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,3,1,4,2,1,,,,
28,7,2,2,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,2,1,4,3,2,,,,
28,25,2,3,2,225,26,9,28,3/27/1990,3/22/2010,"264,249",97,0,1,1,0,0,2,69,169,24,2,1,4,3,2,,,,
29,28,2,6,2,225,15,15,41,3/30/1977,3/25/1997,"264,249",97,0,4,2,1,0,2,94,182,28,2,4,5,2,4,,,,
30,11,2,4,2,157,27,6,29,3/27/1989,3/22/2009,"251,818",96,0,1,0,1,1,0,75,185,22,16,2,3,3,1,,,,
31,11,2,2,2,388,15,9,50,4/1/1968,3/27/1988,"302,585",99,0,1,0,0,0,0,76,178,24,8,1,3,3,1,,,,
31,1,2,3,2,388,15,9,50,4/1/1968,3/27/1988,"302,585",99,0,1,0,0,0,0,76,178,24,8,2,3,2,2,,,,
33,1,2,4,2,248,25,14,47,4/1/1971,3/27/1991,"264,249",97,0,1,2,0,0,1,86,165,32,8,3,3,5,2,,,,
33,23,2,3,2,248,25,14,47,4/1/1971,3/27/1991,"264,249",97,0,1,2,0,0,1,86,165,32,2,4,4,4,4,,,,
34,28,2,3,2,118,10,10,37,3/29/1981,3/24/2001,"251,818",96,0,1,0,0,0,0,83,172,28,2,2,4,2,2,,,,
13,22,3,4,3,369,17,12,31,3/28/1987,3/23/2007,"222,196",99,0,1,3,1,0,0,70,169,25,8,4,1,3,4,,,,
14,13,3,3,2,155,12,14,34,3/28/1984,3/23/2004,"343,253",95,0,1,2,1,0,0,95,196,25,8,4,1,5,3,,,,
14,13,3,4,2,155,12,14,34,3/28/1984,3/23/2004,"222,196",99,0,1,2,1,0,0,95,196,25,24,1,1,3,3,,,,
16,23,3,4,2,118,15,24,46,3/31/1972,3/26/1992,"222,196",99,0,1,2,1,1,0,75,175,25,8,3,2,1,4,,,,
17,8,3,5,2,179,22,17,40,3/30/1978,3/25/1998,"343,253",95,0,2,2,0,1,0,63,170,22,8,4,2,3,5,,,,
17,22,3,3,2,179,22,17,40,3/30/1978,3/25/1998,"244,387",98,0,2,2,0,1,0,63,170,22,8,4,5,2,5,,,,
20,26,3,2,2,260,50,11,36,3/29/1982,3/24/2002,"343,253",95,0,1,4,1,0,0,65,168,23,16,4,2,3,5,,,,
20,28,3,6,2,260,50,11,36,3/29/1982,3/24/2002,"343,253",95,0,1,4,1,0,0,65,168,23,4,5,1,4,4,,,,
20,28,3,6,2,260,50,11,36,3/29/1982,3/24/2002,"244,387",98,0,1,4,1,0,0,65,168,23,4,4,1,4,4,,,,
20,19,3,2,2,260,50,11,36,3/29/1982,3/24/2002,"244,387",98,0,1,4,1,0,0,65,168,23,8,4,1,4,5,,,,
22,13,3,2,3,179,26,9,30,3/27/1988,3/22/2008,"343,253",95,0,3,0,0,0,0,56,171,19,1,2,5,3,1,,,,
22,27,3,6,2,179,26,9,30,3/27/1988,3/22/2008,"222,196",99,0,3,0,0,0,0,56,171,19,3,1,3,2,1,,,,
22,27,3,6,2,179,26,9,30,3/27/1988,3/22/2008,"222,196",99,0,3,0,0,0,0,56,171,19,2,2,5,3,2,,,,
22,23,3,6,2,179,26,9,30,3/27/1988,3/22/2008,"222,196",99,0,3,0,0,0,0,56,171,19,2,2,4,3,2,,,,
22,13,3,2,3,179,26,9,30,3/27/1988,3/22/2008,"222,196",99,0,3,0,0,0,0,56,171,19,2,1,3,3,2,,,,
23,22,3,3,2,378,49,11,36,3/29/1982,3/24/2002,"244,387",98,0,1,2,0,1,4,65,174,21,8,1,1,5,4,,,,
24,19,3,4,2,246,25,16,41,3/30/1977,3/25/1997,"244,387",98,0,1,0,1,0,0,67,170,23,16,1,4,2,2,,,,
24,28,3,6,2,246,25,16,41,3/30/1977,3/25/1997,"244,387",98,0,1,0,1,0,0,67,170,23,2,1,3,2,2,,,,
24,0,3,5,3,246,25,16,41,3/30/1977,3/25/1997,"244,387",98,1,1,0,1,0,0,67,170,23,0,2,4,2,2,,,,
24,28,3,3,3,246,25,16,41,3/30/1977,3/25/1997,"244,387",98,0,1,0,1,0,0,67,170,23,2,2,5,3,2,,,,
25,25,3,2,2,235,16,8,32,3/28/1986,3/23/2006,"222,196",99,0,3,0,0,0,0,75,178,25,3,1,4,2,2,,,,
28,23,3,6,2,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,1,1,3,2,2,,,,
28,23,3,4,2,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,2,1,5,2,1,,,,
28,11,3,2,3,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,8,1,4,3,2,,,,
28,11,3,3,3,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,8,1,5,3,2,,,,
28,11,3,4,3,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,16,1,5,2,1,,,,
28,28,3,6,3,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,2,2,4,2,1,,,,
28,28,3,2,3,225,26,9,28,3/27/1990,3/22/2010,"343,253",95,0,1,1,0,0,2,69,169,24,1,2,4,2,2,,,,
28,27,3,5,2,225,26,9,28,3/27/1990,3/22/2010,"222,196",99,0,1,1,0,0,2,69,169,24,2,2,4,3,2,,,,
28,25,3,5,2,225,26,9,28,3/27/1990,3/22/2010,"222,196",99,0,1,1,0,0,2,69,169,24,2,2,4,3,2,,,,
28,7,3,2,2,225,26,9,28,3/27/1990,3/22/2010,"222,196",99,0,1,1,0,0,2,69,169,24,8,1,5,3,2,,,,
33,14,3,6,3,248,25,14,47,4/1/1971,3/27/1991,"343,253",95,0,1,2,0,0,1,86,165,32,3,4,4,4,4,,,,
33,23,3,2,2,248,25,14,47,4/1/1971,3/27/1991,"222,196",99,0,1,2,0,0,1,86,165,32,2,3,3,4,3,,,,
33,25,3,3,2,248,25,14,47,4/1/1971,3/27/1991,"222,196",99,0,1,2,0,0,1,86,165,32,3,3,2,2,3,,,,
33,13,3,2,2,248,25,14,47,4/1/1971,3/27/1991,"222,196",99,0,1,2,0,0,1,86,165,32,2,1,2,1,4,,,,
33,23,3,5,2,248,25,14,47,4/1/1971,3/27/1991,"222,196",99,0,1,2,0,0,1,86,165,32,3,3,5,2,1,,,,
1,7,4,6,3,235,11,14,37,3/29/1981,3/24/2001,"326,452",96,0,3,1,0,0,1,88,172,29,3,2,3,2,1,,,,
1,22,4,6,3,235,11,14,37,3/29/1981,3/24/2001,"246,288",91,0,3,1,0,0,1,88,172,29,8,1,4,3,1,,,,
2,0,4,2,3,235,29,12,48,4/1/1970,3/27/1990,"326,452",96,1,1,1,0,1,5,88,163,33,0,1,5,3,2,,,,
3,13,4,4,3,179,51,18,38,3/29/1980,3/24/2000,"326,452",96,0,1,0,1,0,0,89,170,31,24,1,5,3,1,,,,
3,28,4,4,3,179,51,18,38,3/29/1980,3/24/2000,"239,409",98,0,1,0,1,0,0,89,170,31,4,2,3,2,2,,,,
3,28,4,4,3,179,51,18,38,3/29/1980,3/24/2000,"239,409",98,0,1,0,1,0,0,89,170,31,8,2,5,2,1,,,,
3,28,4,2,3,179,51,18,38,3/29/1980,3/24/2000,"239,409",98,0,1,0,1,0,0,89,170,31,4,2,3,3,1,,,,
6,13,4,5,3,189,29,13,33,3/28/1985,3/23/2005,"246,288",91,0,1,2,0,0,2,69,167,25,8,1,4,4,4,,,,
10,19,4,3,3,361,52,3,28,3/27/1990,3/22/2010,"246,288",91,0,1,1,1,0,4,80,172,27,8,2,3,3,2,,,,
10,23,4,3,3,361,52,3,28,3/27/1990,3/22/2010,"246,288",91,0,1,1,1,0,4,80,172,27,2,1,4,3,2,,,,
11,19,4,3,3,289,36,13,33,3/28/1985,3/23/2005,"326,452",96,0,1,2,1,0,1,90,172,30,8,2,2,5,2,,,,
11,13,4,5,3,289,36,13,33,3/28/1985,3/23/2005,"326,452",96,0,1,2,1,0,1,90,172,30,16,4,2,5,2,,,,
13,22,4,2,3,369,17,12,31,3/28/1987,3/23/2007,"239,409",98,0,1,3,1,0,0,70,169,25,4,5,1,4,5,,,,
13,7,4,2,3,369,17,12,31,3/28/1987,3/23/2007,"246,288",91,0,1,3,1,0,0,70,169,25,24,4,2,3,4,,,,
14,28,4,3,3,155,12,14,34,3/28/1984,3/23/2004,"326,452",96,0,1,2,1,0,0,95,196,25,1,3,2,4,4,,,,
14,23,4,5,3,155,12,14,34,3/28/1984,3/23/2004,"326,452",96,0,1,2,1,0,0,95,196,25,1,4,5,4,1,,,,
14,12,4,4,3,155,12,14,34,3/28/1984,3/23/2004,"326,452",96,0,1,2,1,0,0,95,196,25,24,4,4,4,3,,,,
14,28,4,3,3,155,12,14,34,3/28/1984,3/23/2004,"246,288",91,0,1,2,1,0,0,95,196,25,4,4,2,4,3,,,,
15,28,4,4,3,291,31,12,40,3/30/1978,3/25/1998,"326,452",96,0,1,1,1,0,1,73,171,25,1,2,3,2,2,,,,
15,23,4,6,3,291,31,12,40,3/30/1978,3/25/1998,"326,452",96,0,1,1,1,0,1,73,171,25,3,1,5,3,1,,,,
15,28,4,6,3,291,31,12,40,3/30/1978,3/25/1998,"326,452",96,0,1,1,1,0,1,73,171,25,1,1,3,2,2,,,,
17,16,4,3,3,179,22,17,40,3/30/1978,3/25/1998,"246,288",91,0,2,2,0,1,0,63,170,22,2,2,2,3,2,,,,
18,26,4,6,3,330,16,4,28,3/27/1990,3/22/2010,"239,409",98,0,2,0,0,0,0,84,182,25,4,1,5,3,2,,,,
18,23,4,4,3,330,16,4,28,3/27/1990,3/22/2010,"239,409",98,0,2,0,0,0,0,84,182,25,8,1,3,2,1,,,,
20,28,4,6,3,260,50,11,36,3/29/1982,3/24/2002,"326,452",96,0,1,4,1,0,0,65,168,23,4,5,2,3,4,,,,
20,19,4,6,3,260,50,11,36,3/29/1982,3/24/2002,"326,452",96,0,1,4,1,0,0,65,168,23,56,4,2,4,4,,,,
20,28,4,6,3,260,50,11,36,3/29/1982,3/24/2002,"239,409",98,0,1,4,1,0,0,65,168,23,3,5,1,4,5,,,,
20,28,4,6,3,260,50,11,36,3/29/1982,3/24/2002,"239,409",98,0,1,4,1,0,0,65,168,23,4,4,1,3,5,,,,
22,27,4,6,3,179,26,9,30,3/27/1988,3/22/2008,"246,288",91,0,3,0,0,0,0,56,171,19,2,2,4,2,2,,,,
22,27,4,6,3,179,26,9,30,3/27/1988,3/22/2008,"246,288",91,0,3,0,0,0,0,56,171,19,2,2,4,2,2,,,,
22,27,4,6,3,179,26,9,30,3/27/1988,3/22/2008,"246,288",91,0,3,0,0,0,0,56,171,19,2,2,4,3,1,,,,
22,27,4,6,3,179,26,9,30,3/27/1988,3/22/2008,"246,288",91,0,3,0,0,0,0,56,171,19,2,1,4,3,1,,,,
23,19,4,4,3,378,49,11,36,3/29/1982,3/24/2002,"326,452",96,0,1,2,0,1,4,65,174,21,8,3,4,4,5,,,,
24,13,4,4,3,246,25,16,41,3/30/1977,3/25/1997,"326,452",96,0,1,0,1,0,0,67,170,23,24,1,3,2,2,,,,
24,14,4,6,3,246,25,16,41,3/30/1977,3/25/1997,"326,452",96,0,1,0,1,0,0,67,170,23,8,1,5,3,2,,,,
25,16,4,3,3,235,16,8,32,3/28/1986,3/23/2006,"246,288",91,0,3,0,0,0,0,75,178,25,3,1,5,2,1,,,,
26,28,4,6,3,300,26,13,43,3/31/1975,3/26/1995,"239,409",98,0,1,2,1,1,1,77,175,25,8,1,4,2,3,,,,
28,23,4,4,3,225,26,9,28,3/27/1990,3/22/2010,"326,452",96,0,1,1,0,0,2,69,169,24,1,2,4,3,1,,,,
28,28,4,6,3,225,26,9,28,3/27/1990,3/22/2010,"326,452",96,0,1,1,0,0,2,69,169,24,2,2,3,3,2,,,,
28,13,4,2,3,225,26,9,28,3/27/1990,3/22/2010,"246,288",91,0,1,1,0,0,2,69,169,24,8,1,4,3,2,,,,
28,19,4,2,3,225,26,9,28,3/27/1990,3/22/2010,"246,288",91,0,1,1,0,0,2,69,169,24,8,1,5,2,1,,,,
28,19,4,5,3,225,26,9,28,3/27/1990,3/22/2010,"246,288",91,0,1,1,0,0,2,69,169,24,8,2,4,3,2,,,,
33,28,4,6,3,248,25,14,47,4/1/1971,3/27/1991,"326,452",96,0,1,2,0,0,1,86,165,32,8,2,2,3,5,,,,
33,26,4,2,3,248,25,14,47,4/1/1971,3/27/1991,"239,409",98,0,1,2,0,0,1,86,165,32,4,2,2,2,5,,,,
33,19,4,4,3,248,25,14,47,4/1/1971,3/27/1991,"246,288",91,0,1,2,0,0,1,86,165,32,8,4,5,3,4,,,,
17,10,5,4,3,179,22,17,40,3/30/1978,3/25/1998,"237,656",99,0,2,2,0,1,0,63,170,22,8,3,3,4,2,,,,
17,25,5,6,3,179,22,17,40,3/30/1978,3/25/1998,"237,656",99,0,2,2,0,1,0,63,170,22,8,1,2,5,5,,,,
18,13,5,6,3,330,16,4,28,3/27/1990,3/22/2010,"246,074",99,0,2,0,0,0,0,84,182,25,8,2,4,2,2,,,,
18,10,5,5,3,330,16,4,28,3/27/1990,3/22/2010,"237,656",99,0,2,0,0,0,0,84,182,25,8,1,4,3,2,,,,
20,28,5,6,3,260,50,11,36,3/29/1982,3/24/2002,"246,074",99,0,1,4,1,0,0,65,168,23,3,5,1,3,4,,,,
22,23,5,4,3,179,26,9,30,3/27/1988,3/22/2008,"246,074",99,0,3,0,0,0,0,56,171,19,3,1,4,2,2,,,,
22,25,5,2,3,179,26,9,30,3/27/1988,3/22/2008,"246,074",99,0,3,0,0,0,0,56,171,19,2,1,3,2,1,,,,
22,23,5,4,3,179,26,9,30,3/27/1988,3/22/2008,"246,074",99,0,3,0,0,0,0,56,171,19,3,1,4,3,1,,,,
22,13,5,5,3,179,26,9,30,3/27/1988,3/22/2008,"237,656",99,0,3,0,0,0,0,56,171,19,1,2,5,3,2,,,,
22,27,5,6,3,179,26,9,30,3/27/1988,3/22/2008,"237,656",99,0,3,0,0,0,0,56,171,19,2,1,3,3,1,,,,
22,27,5,4,3,179,26,9,30,3/27/1988,3/22/2008,"237,656",99,0,3,0,0,0,0,56,171,19,2,1,4,3,1,,,,
22,27,5,6,3,179,26,9,30,3/27/1988,3/22/2008,"237,656",99,0,3,0,0,0,0,56,171,19,2,1,4,3,2,,,,
23,0,5,4,3,378,49,11,36,3/29/1982,3/24/2002,"237,656",99,1,1,2,0,1,4,65,174,21,0,2,5,3,3,,,,
25,28,5,4,3,235,16,8,32,3/28/1986,3/23/2006,"237,656",99,0,3,0,0,0,0,75,178,25,2,1,3,3,1,,,,
25,10,5,2,3,235,16,8,32,3/28/1986,3/23/2006,"237,656",99,0,3,0,0,0,0,75,178,25,8,1,5,3,1,,,,
25,23,5,5,3,235,16,8,32,3/28/1986,3/23/2006,"237,656",99,0,3,0,0,0,0,75,178,25,2,2,3,2,2,,,,
26,19,5,6,3,300,26,13,43,3/31/1975,3/26/1995,"237,656",99,0,1,2,1,1,1,77,175,25,64,1,4,1,4,,,,
27,7,5,4,3,184,42,7,27,3/27/1991,3/22/2011,"378,884",92,0,1,0,0,0,0,58,167,21,4,1,5,3,2,,,,
28,19,5,3,3,225,26,9,28,3/27/1990,3/22/2010,"378,884",92,0,1,1,0,0,2,69,169,24,8,2,4,3,2,,,,
28,25,5,4,3,225,26,9,28,3/27/1990,3/22/2010,"246,074",99,0,1,1,0,0,2,69,169,24,3,2,4,3,2,,,,
28,6,5,4,3,225,26,9,28,3/27/1990,3/22/2010,"237,656",99,0,1,1,0,0,2,69,169,24,3,2,4,3,1,,,,
28,11,5,2,3,225,26,9,28,3/27/1990,3/22/2010,"237,656",99,0,1,1,0,0,2,69,169,24,1,1,5,2,1,,,,
29,19,5,4,3,225,15,15,41,3/30/1977,3/25/1997,"237,656",99,0,4,2,1,0,2,94,182,28,3,3,4,4,4,,,,
29,14,5,5,3,225,15,15,41,3/30/1977,3/25/1997,"237,656",99,0,4,2,1,0,2,94,182,28,8,3,2,5,1,,,,
29,22,5,6,3,225,15,15,41,3/30/1977,3/25/1997,"237,656",99,0,4,2,1,0,2,94,182,28,8,2,1,2,4,,,,
33,23,5,4,3,248,25,14,47,4/1/1971,3/27/1991,"246,074",99,0,1,2,0,0,1,86,165,32,2,3,3,1,2,,,,
34,28,5,2,3,118,10,10,37,3/29/1981,3/24/2001,"246,074",99,0,1,0,0,0,0,83,172,28,1,2,4,2,2,,,,
34,8,5,4,3,118,10,10,37,3/29/1981,3/24/2001,"237,656",99,0,1,0,0,0,0,83,172,28,3,1,3,3,2,,,,
34,28,5,3,3,118,10,10,37,3/29/1981,3/24/2001,"237,656",99,0,1,0,0,0,0,83,172,28,1,2,4,3,1,,,,
36,23,5,2,3,118,13,18,50,4/1/1968,3/27/1988,"237,656",99,0,1,1,1,0,0,98,178,31,2,1,5,2,2,,,,
36,5,5,3,3,118,13,18,50,4/1/1968,3/27/1988,"237,656",99,0,1,1,1,0,0,98,178,31,3,1,5,2,1,,,,
36,0,5,3,3,118,13,18,50,4/1/1968,3/27/1988,"237,656",99,1,1,1,1,0,0,98,178,31,0,1,3,3,2,,,,
1,13,6,6,3,235,11,14,37,3/29/1981,3/24/2001,"377,550",94,0,3,1,0,0,1,88,172,29,16,1,3,2,1,,,,
1,13,6,3,3,235,11,14,37,3/29/1981,3/24/2001,"253,957",95,0,3,1,0,0,1,88,172,29,8,2,4,2,2,,,,
2,0,6,2,3,235,29,12,48,4/1/1970,3/27/1990,"275,089",96,1,1,1,0,1,5,88,163,33,0,1,4,3,1,,,,
3,11,6,3,3,179,51,18,38,3/29/1980,3/24/2000,"378,884",92,0,1,0,1,0,0,89,170,31,1,2,4,3,1,,,,
3,11,6,2,3,179,51,18,38,3/29/1980,3/24/2000,"377,550",94,0,1,0,1,0,0,89,170,31,8,1,3,3,1,,,,
3,11,6,6,3,179,51,18,38,3/29/1980,3/24/2000,"377,550",94,0,1,0,1,0,0,89,170,31,2,1,5,2,2,,,,
