ID,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay
10,2,1,4,3,2
11,8,2,2,5,2
11,16,4,2,5,2
13,4,5,1,4,5
13,24,4,2,3,4
14,1,3,2,4,4
14,1,4,5,4,1
14,24,4,4,4,3
14,4,4,2,4,3
15,1,2,3,2,2
15,3,1,5,3,1
15,1,1,3,2,2
17,2,2,2,3,2
18,4,1,5,3,2
18,8,1,3,2,1
20,4,5,2,3,4
20,56,4,2,4,4
20,3,5,1,4,5
20,4,4,1,3,5
22,2,2,4,2,2
22,2,2,4,2,2
22,2,2,4,3,1
22,2,1,4,3,1
23,8,3,4,4,5
24,24,1,3,2,2
24,8,1,5,3,2
25,3,1,5,2,1
26,8,1,4,2,3
28,1,2,4,3,1
28,2,2,3,3,2
28,8,1,4,3,2
28,8,1,5,2,1
28,8,2,4,3,2
33,8,2,2,3,5
33,4,2,2,2,5
33,8,4,5,3,4
17,8,3,3,4,2
17,8,1,2,5,5
18,8,2,4,2,2
18,8,1,4,3,2
20,3,5,1,3,4
22,3,1,4,2,2
22,2,1,3,2,1
22,3,1,4,3,1
22,1,2,5,3,2
22,2,1,3,3,1
22,2,1,4,3,1
22,2,1,4,3,2
23,0,2,5,3,3
25,2,1,3,3,1
25,8,1,5,3,1
25,2,2,3,2,2
26,64,1,4,1,4
27,4,1,5,3,2
28,8,2,4,3,2
28,3,2,4,3,2
28,3,2,4,3,1
28,1,1,5,2,1
29,3,3,4,4,4
29,8,3,2,5,1
29,8,2,1,2,4
33,2,3,3,1,2
34,1,2,4,2,2
34,3,1,3,3,2
34,1,2,4,3,1
36,2,1,5,2,2
36,3,1,5,2,1
36,0,1,3,3,2
1,16,1,3,2,1
1,8,2,4,2,2
2,0,1,4,3,1
3,1,2,4,3,1
3,8,1,3,3,1
3,2,1,5,2,2
3,3,2,4,3,1
3,0,1,4,2,2
3,24,2,5,3,2
3,4,1,4,3,2
3,2,1,4,3,1
3,8,1,3,3,1
5,8,1,5,3,1
10,8,1,4,2,1
10,8,2,3,3,2
12,8,2,3,2,1
12,8,1,5,3,1
12,3,1,3,2,2
14,4,4,2,2,3
15,4,2,4,2,1
15,40,1,4,2,2
15,2,1,3,2,1
16,8,3,4,1,3
18,0,1,3,3,2
18,1,1,4,2,2
20,4,5,2,4,5
21,0,1,3,3,2
22,2,1,5,2,2
22,3,1,5,2,1
22,2,2,4,2,2
22,2,1,3,3,2
22,3,2,5,3,1
23,0,2,4,5,2
23,8,4,2,4,2
23,8,4,2,2,4
24,8,1,4,2,2
24,24,2,4,2,2
24,8,2,5,3,1
24,8,2,3,3,2
24,3,1,3,2,2
24,2,2,3,3,2
28,2,2,3,3,2
28,4,2,4,3,2
28,2,2,4,3,1
31,0,1,4,3,1
32,2,1,4,2,1
34,3,2,4,2,2
34,2,1,4,3,1
34,8,1,3,3,1
34,8,1,4,3,1
34,3,1,4,3,1
34,2,1,3,2,2
34,3,2,4,3,1
36,24,2,4,3,1
36,8,1,4,3,2
36,1,2,5,2,2
36,80,1,5,3,1
36,2,2,4,2,1
36,24,1,4,3,2
36,3,2,3,2,1
3,8,2,5,3,2
3,3,2,5,3,1
3,3,1,4,2,2
3,2,2,4,3,2
3,3,2,5,2,2
3,8,1,4,2,1
3,3,1,4,2,1
3,3,2,5,2,2
3,3,2,3,3,2
3,3,2,4,2,1
3,3,2,4,2,2
3,3,1,3,2,1
3,8,2,3,3,2
3,2,1,4,3,2
3,2,2,5,3,1
3,2,2,3,2,2
3,2,2,5,3,2
3,3,1,4,2,1
3,3,1,3,3,1
3,3,1,5,3,1
3,2,2,4,2,1
3,8,1,3,2,2
3,2,2,4,2,1
3,2,1,3,2,2
3,2,2,5,3,1
3,2,1,4,3,2
1,8,1,4,2,2
1,8,2,5,2,1
1,0,1,4,3,1
3,24,2,3,3,1
3,3,2,4,3,1
3,2,2,3,3,2
3,16,1,5,2,1
3,8,1,4,2,2
3,2,1,5,3,2
3,2,1,4,2,2
3,3,2,4,3,1
3,8,1,3,2,2
3,2,1,5,3,2
3,3,2,3,3,2
3,4,2,3,3,1
3,3,1,4,2,2
3,2,1,3,2,1
3,2,2,5,2,1
3,3,2,4,2,1
3,3,1,5,3,2
3,3,2,3,2,2
3,3,2,5,3,2
3,3,1,3,3,1
7,8,2,3,1,3
7,16,2,4,3,3
9,3,4,4,5,2
9,112,3,4,5,3
9,2,3,1,4,4
10,8,2,3,3,2
10,8,2,3,2,2
11,8,4,2,3,3
11,8,5,5,3,5
11,8,3,5,3,5
11,104,1,5,4,2
13,0,4,1,4,4
36,3,2,5,3,1
36,8,1,5,2,2
36,0,2,4,2,2
1,8,2,5,3,2
1,4,2,4,3,2
1,4,1,4,2,1
2,1,2,4,3,1
3,2,1,5,2,1
3,2,2,5,2,2
3,1,2,4,2,2
3,4,1,3,3,2
3,2,2,5,3,2
3,8,1,5,2,2
3,8,1,3,3,2
3,1,2,3,3,2
3,1,2,3,3,1
5,8,2,4,2,2
5,4,1,3,2,2
6,8,3,3,4,2
6,16,4,3,2,3
7,4,5,3,2,4
7,2,2,2,3,4
9,8,1,2,4,2
9,120,2,5,4,1
10,8,2,3,3,2
10,8,2,3,3,2
10,8,2,4,3,1
10,8,2,3,2,1
11,4,4,1,4,1
11,2,3,4,2,1
11,8,2,4,4,2
11,32,4,3,4,3
11,8,4,4,1,4
11,8,2,1,4,1
11,8,4,4,4,5
11,8,1,2,2,3
11,8,5,3,4,4
11,8,4,3,4,5
12,2,1,5,2,1
13,8,4,2,3,5
13,80,4,2,3,4
14,40,1,3,5,5
14,16,3,3,2,2
14,2,2,4,1,3
15,1,1,5,3,2
18,8,2,5,2,2
18,8,2,3,2,2
18,8,1,5,3,1
18,8,1,5,2,2
20,4,4,2,3,4
20,8,4,2,4,5
20,8,4,2,4,5
20,8,4,1,3,4
20,0,5,1,3,5
20,8,5,2,3,5
20,4,5,2,3,4
21,8,2,4,2,2
22,8,1,4,2,2
22,8,1,4,3,1
22,2,1,4,2,2
24,8,2,4,2,1
24,2,1,5,3,2
24,2,2,4,2,2
26,8,4,1,2,1
28,4,1,4,2,2
28,112,1,4,2,2
28,8,1,3,2,2
30,3,2,4,3,2
33,0,4,4,4,1
34,8,1,5,2,2
34,4,1,3,3,2
34,3,2,5,2,1
34,8,2,5,3,2
34,8,1,4,3,1
34,4,2,4,3,1
34,2,1,4,2,2
36,0,2,5,3,2
36,8,1,3,2,2
36,0,1,3,3,1
36,1,2,3,3,1
34,8,2,4,3,2
36,2,1,3,3,1
34,2,2,4,3,2
34,8,1,4,2,2
34,2,2,5,3,1
36,1,1,5,3,2
36,1,2,4,3,2
36,120,2,4,2,2
36,3,2,4,3,1
36,2,1,4,3,1
1,8,2,3,2,1
1,8,2,5,3,2
3,8,1,4,3,1
3,1,1,5,3,2
3,4,1,3,3,1
5,16,2,4,3,2
5,8,1,4,3,1
7,0,3,1,4,4
9,8,3,4,3,3
10,1,1,3,3,1
10,8,2,5,2,1
11,8,3,2,2,2
11,24,1,3,3,4
13,8,4,2,3,4
14,2,3,3,4,3
14,1,3,4,2,3
14,2,3,5,3,4
14,48,4,1,2,1
14,2,2,2,4,5
14,8,4,2,4,4
15,2,2,4,2,2
15,8,1,3,3,1
15,2,2,5,3,1
17,2,3,5,2,3
17,3,4,3,1,3
17,1,1,3,4,3
1,4,2,4,3,1
1,1,1,5,2,2
1,8,2,5,2,1
1,4,1,5,3,1
2,8,2,4,3,1
2,8,1,5,3,2
2,8,2,4,3,1
3,1,1,3,3,2
3,2,2,4,3,2
3,8,2,5,3,1
3,2,2,3,2,1
3,4,1,3,2,2
3,3,2,3,3,2
3,4,2,4,2,1
3,4,1,4,3,2
5,8,2,5,2,2
5,8,2,4,3,2
9,8,4,2,5,4
10,40,1,3,2,1
10,7,1,4,2,2
10,1,1,4,3,2
10,8,2,4,2,1
11,8,4,2,2,2
11,1,1,4,1,3
11,8,3,4,5,2
11,8,2,4,4,3
11,8,3,3,4,3
11,1,1,2,4,1
11,4,2,3,1,3
11,8,5,2,4,2
14,2,2,1,2,2
15,4,1,3,3,1
15,4,2,4,2,2
15,2,2,4,2,1
17,1,5,4,3,2
17,8,4,1,3,3
18,8,2,4,3,1
18,16,1,4,2,2
19,4,1,4,2,1
20,4,4,1,4,5
20,4,4,2,4,5
20,4,5,1,4,5
20,3,5,1,3,4
21,8,2,3,2,1
22,1,1,3,3,2
24,4,1,5,2,1
24,1,2,5,3,1
26,1,3,3,4,3
26,2,1,1,2,3
27,2,1,3,2,1
27,8,2,3,2,1
30,4,1,4,2,1
30,3,2,5,2,1
33,2,1,5,4,3
33,1,1,2,4,3
33,2,4,4,1,3
34,4,1,4,3,2
34,3,1,4,3,1
34,4,2,4,2,1
34,5,1,3,2,2
36,3,2,3,3,2
36,1,1,3,2,1
3,3,2,4,3,1
3,3,1,4,2,1
3,8,2,5,3,2
3,3,2,4,3,2
3,8,1,3,2,1
3,1,2,4,2,2
3,8,2,3,2,1
3,4,2,4,2,1
5,0,2,5,2,1
5,8,1,5,2,1
5,0,2,4,2,2
8,0,4,5,4,2
10,8,2,3,3,1
11,0,1,2,4,3
11,24,5,2,2,4
13,0,5,2,3,5
13,8,4,2,4,4
14,2,4,4,4,2
15,32,2,3,3,1
15,3,2,4,2,1
15,4,2,4,2,1
15,3,2,5,2,1
15,40,2,4,3,1
15,2,1,4,3,2
19,0,1,4,2,1
20,8,4,2,4,5
20,0,5,2,3,5
20,4,4,1,3,5
20,4,5,1,3,5
22,8,2,4,3,2
22,2,1,4,3,2
24,16,2,3,2,1
24,32,1,5,3,1
24,1,2,4,3,2
24,1,2,4,2,2
28,2,2,3,3,2
28,3,1,3,2,2
28,1,2,5,3,1
29,0,2,4,3,1
33,1,4,1,1,1
33,1,3,3,3,3
34,2,1,4,2,1
34,3,1,4,2,2
36,0,1,5,3,2
36,1,2,3,3,1
3,3,1,3,3,2
3,3,2,3,2,2
3,8,2,3,3,1
3,3,2,5,2,1
5,0,1,3,3,2
5,0,2,4,3,2
5,2,1,5,3,1
5,2,2,4,3,2
6,8,4,2,4,2
9,1,2,4,5,3
10,1,1,4,3,2
10,8,2,5,2,1
11,8,2,4,5,5
11,16,2,5,3,4
13,8,4,1,4,4
13,3,4,2,3,4
13,8,5,1,3,5
13,8,4,2,3,5
13,8,4,1,4,5
15,5,1,4,2,1
15,8,2,4,3,1
15,4,1,3,3,1
15,0,2,3,2,2
15,2,2,4,3,1
15,1,2,4,3,2
15,1,1,5,3,2
20,16,5,2,3,4
20,3,4,2,3,5
20,3,4,1,3,5
20,0,5,1,4,5
22,1,2,4,2,1
22,64,2,4,2,2
22,16,1,5,3,2
22,5,1,5,2,1
22,5,2,3,3,2
24,8,2,4,2,1
25,3,2,3,2,1
25,8,1,4,3,1
28,3,2,4,2,2
28,2,2,4,3,2
28,3,1,4,3,2
28,2,1,5,2,1
28,2,1,5,3,1
28,4,1,5,3,1
28,1,2,4,3,2
28,3,1,3,3,1
28,0,1,3,3,2
28,3,1,5,2,1
30,0,1,5,2,2
32,1,1,4,2,2
32,3,1,3,2,2
32,2,2,5,3,2
33,2,1,4,4,4
33,8,2,3,2,3
34,3,1,4,3,2
34,3,1,4,3,2
34,2,2,5,2,2
36,0,1,5,3,2
36,1,1,3,3,1
36,1,1,3,3,2
36,1,2,4,2,1
1,1,2,5,3,1
1,2,1,4,3,2
3,1,1,4,3,1
3,8,2,5,2,2
3,8,1,5,3,2
3,3,1,4,2,2
3,1,1,4,2,1
3,1,1,4,2,1
3,1,2,4,2,2
3,1,1,4,2,1
3,1,2,4,3,2
5,8,1,4,3,2
5,0,2,5,3,1
6,8,3,5,1,4
7,0,4,4,3,2
10,8,1,3,3,1
10,2,1,5,2,2
11,8,2,1,5,4
11,0,4,1,3,3
13,8,4,1,4,5
14,32,5,3,2,5
14,120,2,3,2,1
15,5,1,4,3,1
15,40,2,3,2,1
15,1,1,5,3,2
15,4,1,5,2,2
15,2,2,4,2,1
15,0,1,4,2,2
17,8,5,2,1,4
18,0,2,4,3,2
18,24,1,3,3,2
20,3,5,1,3,5
20,8,4,2,4,5
20,8,5,1,4,5
23,8,1,3,5,1
23,0,2,3,2,3
24,8,1,4,3,1
24,8,2,3,2,2
25,8,1,4,3,2
28,1,1,5,2,2
28,4,2,5,3,2
28,3,2,3,2,2
28,2,2,4,2,2
28,2,1,4,3,1
33,2,4,4,2,3
33,4,2,3,2,2
34,8,1,3,3,2
34,3,2,4,2,2
34,3,2,4,3,2
34,8,2,5,3,1
34,2,2,3,2,2
34,8,2,3,3,2
34,8,2,3,2,1
1,1,2,5,2,1
3,1,1,3,3,1
3,1,1,4,2,1
3,3,2,4,2,1
3,3,2,3,2,2
3,2,1,4,2,2
5,8,2,3,3,2
11,8,2,4,3,2
11,3,2,1,3,2
11,8,3,5,4,4
11,8,4,5,5,4
14,8,5,3,4,3
14,2,2,3,2,4
14,4,1,4,4,3
14,8,2,1,4,3
15,8,2,3,2,1
17,2,1,3,3,3
17,2,5,4,3,5
17,2,4,1,2,3
17,3,4,2,4,1
22,8,2,3,2,1
22,24,2,3,3,1
22,16,2,3,2,2
22,3,1,3,3,2
22,2,2,3,3,1
22,2,1,3,2,1
1,8,2,5,3,2
1,3,1,5,3,1
1,2,2,5,3,2
1,4,2,4,3,2
3,2,1,4,3,2
3,1,2,4,2,2
3,1,1,5,3,1
3,1,1,4,3,1
3,1,2,4,3,2
3,3,1,4,3,1
3,32,2,4,3,2
5,8,2,4,2,2
5,8,1,5,2,1
10,8,2,5,3,1
10,8,2,5,2,1
10,4,2,4,3,2
11,24,1,3,4,5
11,8,2,4,5,4
12,8,2,3,2,2
14,8,2,2,2,4
14,16,2,4,2,2
14,80,3,2,4,2
15,3,1,4,2,2
15,8,1,5,2,1
15,1,1,4,3,1
17,8,4,4,2,2
17,8,3,2,4,2
17,40,4,2,3,2
17,2,1,3,2,1
19,2,2,4,2,1
20,4,5,2,4,4
20,8,5,1,4,4
20,3,4,2,3,4
20,8,5,1,3,5
20,8,4,1,4,4
20,40,5,2,3,5
20,4,4,1,3,5
20,8,5,1,4,5
22,8,1,4,2,2
22,1,1,3,3,2
22,1,2,4,2,1
22,16,2,5,2,1
24,8,2,4,3,2
24,8,2,4,2,2
28,1,2,5,2,2
28,3,1,4,3,2
28,3,2,5,3,1
28,3,2,3,3,1
28,2,1,4,3,1
28,3,1,4,3,1
28,2,2,3,3,2
28,2,2,4,3,2
28,3,1,5,2,1
28,3,2,4,2,1
28,3,2,5,3,2
28,3,2,4,2,1
28,2,2,4,2,1
28,3,1,3,3,2
28,2,2,4,3,2
30,3,1,5,2,2
30,2,2,5,3,2
33,1,1,4,3,4
33,1,4,2,4,2
33,3,4,4,2,1
34,64,2,4,3,2
34,56,2,3,3,1
34,2,1,3,3,2
34,8,1,4,3,2
36,2,1,4,2,2
36,1,2,5,2,1
