ID,Absenteeism time in hours,HI1_WorkSatisfaction,HI2_LikesManager,HI3_EnjoysColleagues,HI4_WantstoStay,Work Happiness,Likes Manager,Likes Colleagues,Retention Outlook
29,8,3,2,5,1,Meh,Dislike,Like Very Much,Very Unlikely
29,8,2,1,2,4,Unhappy,Dislike Very Much,Dislike,Likely
33,2,3,3,1,2,Meh,Meh,Dislike Very Much,Unlikely
34,1,2,4,2,2,Unhappy,Like,Dislike,Unlikely
34,3,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
34,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
36,2,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
36,3,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
36,0,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
1,16,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
1,8,2,4,2,2,Unhappy,Like,Dislike,Unlikely
2,0,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
3,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
3,8,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
3,2,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
3,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
3,0,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
3,24,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,4,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
3,2,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
3,8,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
5,8,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
10,8,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
10,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
12,8,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
12,8,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
12,3,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
14,4,4,2,2,3,Happy,Dislike,Dislike,Meh
15,4,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
15,40,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
15,2,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
16,8,3,4,1,3,Meh,Like,Dislike Very Much,Meh
18,0,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
18,1,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
20,4,5,2,4,5,Very Happy,Dislike,Like,Very Likely
21,0,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
22,2,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
22,3,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
22,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
22,2,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
22,3,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
23,0,2,4,5,2,Unhappy,Like,Like Very Much,Unlikely
23,8,4,2,4,2,Happy,Dislike,Like,Unlikely
23,8,4,2,2,4,Happy,Dislike,Dislike,Likely
24,8,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
24,24,2,4,2,2,Unhappy,Like,Dislike,Unlikely
24,8,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
24,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
24,3,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
24,2,2,3,3,2,Unhappy,Meh,Meh,Unlikely
28,2,2,3,3,2,Unhappy,Meh,Meh,Unlikely
28,4,2,4,3,2,Unhappy,Like,Meh,Unlikely
28,2,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
31,0,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
32,2,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
34,3,2,4,2,2,Unhappy,Like,Dislike,Unlikely
34,2,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
34,8,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
34,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
34,3,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
34,2,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
34,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
36,24,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
36,8,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
36,1,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
36,80,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
36,2,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
36,24,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
36,3,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
3,8,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,3,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
3,3,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
3,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
3,3,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
3,8,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
3,3,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
3,3,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
3,3,2,3,3,2,Unhappy,Meh,Meh,Unlikely
3,3,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
3,3,2,4,2,2,Unhappy,Like,Dislike,Unlikely
3,3,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
3,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
3,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
3,2,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
3,2,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
3,2,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,3,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
3,3,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
3,3,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
3,2,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
3,8,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
3,2,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
3,2,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
3,2,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
3,2,1,4,3,2,Very Unhappy,Like,Meh,Unlikely
1,8,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
1,8,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
1,0,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
3,24,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
3,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
3,2,2,3,3,2,Unhappy,Meh,Meh,Unlikely
3,16,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
3,8,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
3,2,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
3,2,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
3,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
3,8,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
3,2,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
3,3,2,3,3,2,Unhappy,Meh,Meh,Unlikely
3,4,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
3,3,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
3,2,1,3,2,1,Very Unhappy,Meh,Dislike,Very Unlikely
3,2,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
3,3,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
3,3,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
3,3,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
3,3,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,3,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
7,8,2,3,1,3,Unhappy,Meh,Dislike Very Much,Meh
7,16,2,4,3,3,Unhappy,Like,Meh,Meh
9,3,4,4,5,2,Happy,Like,Like Very Much,Unlikely
9,112,3,4,5,3,Meh,Like,Like Very Much,Meh
9,2,3,1,4,4,Meh,Dislike Very Much,Like,Likely
10,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
10,8,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
11,8,4,2,3,3,Happy,Dislike,Meh,Meh
11,8,5,5,3,5,Very Happy,Like Very Much,Meh,Very Likely
11,8,3,5,3,5,Meh,Like Very Much,Meh,Very Likely
11,104,1,5,4,2,Very Unhappy,Like Very Much,Like,Unlikely
13,0,4,1,4,4,Happy,Dislike Very Much,Like,Likely
36,3,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
36,8,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
36,0,2,4,2,2,Unhappy,Like,Dislike,Unlikely
1,8,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
1,4,2,4,3,2,Unhappy,Like,Meh,Unlikely
1,4,1,4,2,1,Very Unhappy,Like,Dislike,Very Unlikely
2,1,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
3,2,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
3,2,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
3,1,2,4,2,2,Unhappy,Like,Dislike,Unlikely
3,4,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
3,2,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,8,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
3,8,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
3,1,2,3,3,2,Unhappy,Meh,Meh,Unlikely
3,1,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
5,8,2,4,2,2,Unhappy,Like,Dislike,Unlikely
5,4,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
6,8,3,3,4,2,Meh,Meh,Like,Unlikely
6,16,4,3,2,3,Happy,Meh,Dislike,Meh
7,4,5,3,2,4,Very Happy,Meh,Dislike,Likely
7,2,2,2,3,4,Unhappy,Dislike,Meh,Likely
9,8,1,2,4,2,Very Unhappy,Dislike,Like,Unlikely
9,120,2,5,4,1,Unhappy,Like Very Much,Like,Very Unlikely
10,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
10,8,2,3,3,2,Unhappy,Meh,Meh,Unlikely
10,8,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
10,8,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
11,4,4,1,4,1,Happy,Dislike Very Much,Like,Very Unlikely
11,2,3,4,2,1,Meh,Like,Dislike,Very Unlikely
11,8,2,4,4,2,Unhappy,Like,Like,Unlikely
11,32,4,3,4,3,Happy,Meh,Like,Meh
11,8,4,4,1,4,Happy,Like,Dislike Very Much,Likely
11,8,2,1,4,1,Unhappy,Dislike Very Much,Like,Very Unlikely
11,8,4,4,4,5,Happy,Like,Like,Very Likely
11,8,1,2,2,3,Very Unhappy,Dislike,Dislike,Meh
11,8,5,3,4,4,Very Happy,Meh,Like,Likely
11,8,4,3,4,5,Happy,Meh,Like,Very Likely
12,2,1,5,2,1,Very Unhappy,Like Very Much,Dislike,Very Unlikely
13,8,4,2,3,5,Happy,Dislike,Meh,Very Likely
13,80,4,2,3,4,Happy,Dislike,Meh,Likely
14,40,1,3,5,5,Very Unhappy,Meh,Like Very Much,Very Likely
14,16,3,3,2,2,Meh,Meh,Dislike,Unlikely
14,2,2,4,1,3,Unhappy,Like,Dislike Very Much,Meh
15,1,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
18,8,2,5,2,2,Unhappy,Like Very Much,Dislike,Unlikely
18,8,2,3,2,2,Unhappy,Meh,Dislike,Unlikely
18,8,1,5,3,1,Very Unhappy,Like Very Much,Meh,Very Unlikely
18,8,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
20,4,4,2,3,4,Happy,Dislike,Meh,Likely
20,8,4,2,4,5,Happy,Dislike,Like,Very Likely
20,8,4,2,4,5,Happy,Dislike,Like,Very Likely
20,8,4,1,3,4,Happy,Dislike Very Much,Meh,Likely
20,0,5,1,3,5,Very Happy,Dislike Very Much,Meh,Very Likely
20,8,5,2,3,5,Very Happy,Dislike,Meh,Very Likely
20,4,5,2,3,4,Very Happy,Dislike,Meh,Likely
21,8,2,4,2,2,Unhappy,Like,Dislike,Unlikely
22,8,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
22,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
22,2,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
24,8,2,4,2,1,Unhappy,Like,Dislike,Very Unlikely
24,2,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
24,2,2,4,2,2,Unhappy,Like,Dislike,Unlikely
26,8,4,1,2,1,Happy,Dislike Very Much,Dislike,Very Unlikely
28,4,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
28,112,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
28,8,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
30,3,2,4,3,2,Unhappy,Like,Meh,Unlikely
33,0,4,4,4,1,Happy,Like,Like,Very Unlikely
34,8,1,5,2,2,Very Unhappy,Like Very Much,Dislike,Unlikely
34,4,1,3,3,2,Very Unhappy,Meh,Meh,Unlikely
34,3,2,5,2,1,Unhappy,Like Very Much,Dislike,Very Unlikely
34,8,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
34,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
34,4,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
34,2,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
36,0,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
36,8,1,3,2,2,Very Unhappy,Meh,Dislike,Unlikely
36,0,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
36,1,2,3,3,1,Unhappy,Meh,Meh,Very Unlikely
34,8,2,4,3,2,Unhappy,Like,Meh,Unlikely
36,2,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
34,2,2,4,3,2,Unhappy,Like,Meh,Unlikely
34,8,1,4,2,2,Very Unhappy,Like,Dislike,Unlikely
34,2,2,5,3,1,Unhappy,Like Very Much,Meh,Very Unlikely
36,1,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
36,1,2,4,3,2,Unhappy,Like,Meh,Unlikely
36,120,2,4,2,2,Unhappy,Like,Dislike,Unlikely
36,3,2,4,3,1,Unhappy,Like,Meh,Very Unlikely
36,2,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
1,8,2,3,2,1,Unhappy,Meh,Dislike,Very Unlikely
1,8,2,5,3,2,Unhappy,Like Very Much,Meh,Unlikely
3,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
3,1,1,5,3,2,Very Unhappy,Like Very Much,Meh,Unlikely
3,4,1,3,3,1,Very Unhappy,Meh,Meh,Very Unlikely
5,16,2,4,3,2,Unhappy,Like,Meh,Unlikely
5,8,1,4,3,1,Very Unhappy,Like,Meh,Very Unlikely
7,0,3,1,4,4,Meh,Dislike Very Much,Like,Likely
